ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
163-1074 (ORANGE CA 13A TWIN S/SOCKET OUTLET),13 NOS,1634.25,21245.25,
163-1075 (ORANGE CA 1G 4WIRE TELEPHONE SOCKET),44 NOS,1015.06,44662.82,
163-1076 (ORANGE CA 75 OHM TELEVISION OUTLET),82 NOS,1606.17,131706.20,
163-1077 (ORANGE CA 8 WIRE8 CONT TELE DATA SOC),-3 NOS,2749.27,-8247.80,
163-1087 (ORANGE CA 1G 2.1A USB TYPE A),,,,
163-1095 (ORANGE CA 13A S/SOCKET OUTLET 6A MAX),153 NOS,700.10,107115.32,
163-1136 (ORANGE CA 13A S/SOCKET W/NEON),50 NOS,921.24,46061.82,
163-1139 (ORANGE CA 13A S/SOC OL W/NEON 6A MAX),,,,
166-1023 (ORANGE CA 5 STEP HUMFREE FAN CONTROLLER BLACK),,,,
187-1001 (ORANGE 13A TRAILER SOC 3MTS WIRE),58 NOS,3708.42,215088.58,
CCTV(SIGNAMAX),,,,
270-1002 (ORANGE 2MP 8 CHANNEL DVR),,,,
CEILING FAN,14 NOS,12007.93,168111.07,
"245-5050 (ORANGE CEILING FAN S/RING -ALU.BLA 56"")",,,,
"245-5063 (ORANGE 56"" CEILING FAN PW/SILVER 70W)",14 NOS,12007.93,168111.07,
CFL BULB,,,,
101-2003 (ORANGE CFL PIN TYPE 5W D/L 2U),,,,
101-2007 (ORANGE CFL PIN TYPE 9W D/L 2U),,,,
101-2009 (ORANGE CFL PIN TYPE 11W D/L 2U),,,,
101-2011 (ORANGE CFL PIN TYPE 15W D/L 2U),,,,
101-2013 (ORANGE CFL B22 20W D/L 3U),,,,
101-2309 (ORANGE CFL B22 11W D/L HALF F/SPIRAL),,,,
703-1014 (ORANGE CFL PIN TYPE 15W D/L 3U),,,,
CHANGEOVER SWITCH,62 NOS,7000.30,434018.46,
216-1002 (ORANGE CHANGEOVER 2POLE 40A-MCB TYPE),25 NOS,2812.10,70302.59,
216-1004 (ORANGE CHANGEOVER 4POLE 40A -MCB TYPE),26 NOS,6827.42,177512.89,
216-1105 (ORANGE CHANGEOVER SW WITH EN 63A-ON),,,,
216-1106 (ORANGE CHANGEOVER SW WITH EN 100A-ON),1 NOS,15186.44,15186.44,
216-1107 (ORANGE CHANGEOVER SW WITH EN 125A-ON),1 NOS,27925.00,27925.00,
216-1108 (ORANGE CHANGEOVER SW WITH EN 160A-ON),1 NOS,,,
216-1109 (ORANGE CHANGEOVER SW WITH EN 200A-ON),1 NOS,38960.01,38960.01,
216-1116 (ORANGE CHANGEOVER SW WITHOUT EN 63A-ON),,,,
216-1117 (ORANGE CHANGEOVER SW WITHOUT EN 100A-ON),5 NOS,12094.10,60470.51,
216-1118 (ORANGE CHANGEOVER SW WITHOUT EN 125A-ON),2 NOS,21830.51,43661.02,
ELECTRICAL,287 NOS,2598.45,745754.05,
190-1447 (ORANGE 7/1.70MM SS BLUE NON STD LEN),250 NOS,1135.25,283812.50,
190-1467 (ORANGE 7/1.70 MM SS BROWN NON STD LEN),,,,
194-1025 (XK-07104-RP29) (ORANGE 2X6MM27/1.04 CU/PVC/SWA/PVC2),,,,
214-4029 (ORANGE RCCB 2 POLE 63A 300MA TYPE AC),12 NOS,6644.66,79735.92,
222-1002 (ORANGE 1RAW 12WAY 350X250X90 ODS),4 NOS,6408.21,25632.84,
222-1003 (ORANGE 1RAW 16WAY 400X250X90 ODS),3 NOS,7898.75,23696.24,
222-1151 (ORANGE PC 2R 14W 400X700X200 DB W/BB),2 NOS,25745.92,51491.83,
222-1154 (ORANGE PC 1R 18W 450X550X200 DB W/BB),3 NOS,25200.00,75600.00,
222-1403 (WALL MOUNTD PANEL 250X300X200),2 NOS,8855.93,17711.86,
222-1411 (WALL MOUNTD PANEL 400X500X200),2 NOS,15932.20,31864.40,
222-1416 (WALL MOUNTD PANEL 600X600X200),4 NOS,25805.09,103220.36,
222-1418 (WALL MOUNTD PANEL 600X700X200),,,,
222-1501 (ORANGE PC METER BOX 500X400X180MM-3P),4 NOS,10994.29,43977.15,
222-1502 (ORANGE PC METER BOX 300X350X180MM-1P),1 NOS,9010.95,9010.95,
ENIGMA,411 NOS,1048.68,431005.66,
145-1004 (ORANGE EN 1W 4G SWITCH C/WHITE),3 NOS,1400.00,4200.00,
